AGE_GROUP,VETSTAT,Proportion_In_LFP
18-29,1,0.7035457794958115
18-29,2,0.7888926287445305
30-39,1,0.8053404891152596
30-39,2,0.8455623662543977
40-49,1,0.8089288420985451
40-49,2,0.8521125249447461
50-59,1,0.7515425026383763
50-59,2,0.7482183940295157
60-69,1,0.44562273085085047
60-69,2,0.41031974529444315
70+,1,0.09697763149303631
70+,2,0.11354220534127452
NA,0,0.011621735552120762
NA,1,0.29127307077459674
NA,2,0.2558139534883721
